#key	synopsis
5 in One FunPak (USA)	Pack de 5 jeux : Backgammon, Dames, Reversi, Échec, yahtzee
Crazy Faces (Europe) (Proto)	Puzzle game à base d'images provenant des jeux de Domark et sega, ce jeu n'a jamais été commercialisé. Il s'agit ici d'un prototype sans le son.
Crystal Warriors (USA, Europe)	Le royaume de Tyramus est menacé par l'invasion de l'Empire de Jyn qui veut utiliser le pouvoir des Quatre Cristaux à des fins funestes. Dans Crystal Warriors sur Game Gear, votre tâche consiste à escorter la Princesse Iris, détentrice de l'un des cristaux, et à renverser l'armée ennemie dans des batailles au tour par tour. Servez-vous à bon escient de vos guerriers, magiciens et guérisseurs.
CutThroat Island (USA)	Dans ce jeu, vous incarnez une pirate nommée Morgan, à qui son père a confié un morceau de carte avant de mourir. Vous partez à la recherche d'autres morceaux de la carte afin de découvrir le trésor caché enfoui sur l'île de Cutthroat. Le gameplay consiste à faire défiler l'écran et à affronter au corps à corps des pirates et autres scélérats à l'épée, en utilisant diverses attaques. Au fur et à mesure de votre progression, vous débloquez de nouveaux combos. Ce jeu est inspiré du film du même nom.
Daffy Duck in Hollywood (Europe, Brazil) (En,Fr,De,Es,It)	Daffy Duck in Hollywood est un titre de plates-formes au scrolling horizontal sur Game Gear. Le réalisateur récompensé Yosemite Sam appelle le détective Daffy Duck pour lui demander de l'aide : retrouver son trophée en or dérobé par l'immonde professeur Duckbrain. Armé de son pistolet à bulles, Daffy Duck part en investigation en plongeant dans les films de Sam ce qui justifie la variété des environnements du titre : western, science-fiction, horreur, jungle, etc. Daffy Duck peut sauter et transformer les ennemis en bulles. Pour progresser il doit réduire au silence certains adversaires sous peine de voir les accès bloqués. Dans les levels, récupérez un maximum de bulles afin d'augmenter votre puissance, votre score de points et votre protection sous la forme d'un fée qui virevolte autour de Daffy Duck.
David Robinson's Supreme Court (USA) (Auto Demo)	David Robinson's Supreme Court : Dans ce jeu, chaque dribble, passe, coup de pied et coup de coude est réel - tout est numérisé à partir du vrai basket. 24 coups différents de sauteurs aux claques, une vitesse incroyable et des effets sonores qui claquent le rebond font de ces sommets une action qui plie les cerceaux. Robinson prouve son cas avec des claquements de monstres à deux mains et des attacks nets impressionnants! Action de tournoi 3-sur-3 ou full-tilt. Procurez-vous une escouade de tueur à partir d'un tableau de 20 joueurs composé de spécialistes du slam, de planchistes et de voleurs de balles. Attrapez le commentaire de couleur de l'amiral aux pauses.
Deep Duck Trouble Starring Donald Duck (USA, Europe, Brazil) (En)	Dans le jeu de plates-formes Deep Duck Trouble Starring Donald Duck sur Game Gear, le joueur doit suivre le carnet de bord de Picsou pour inverser la malédiction qui le fait flotter dans les airs tel un ballon. En compagnie de Donald, traversez îles, jungles et volcans et battez un boss à chaque fin de niveau.
Defenders of Oasis (USA, Europe)	Basé sur d'anciens mythes Iraniens, Defenders of the Oasis sur Game Gear est un jeu de rôle où vous contrôlez le Prince de Shanadar et combattez les descendants du dragon Zahhark. Vous êtes accompagné par une princesse au joli minois, le génie de la lampe, ainsi que d'autres acolytes.
Desert Speedtrap Starring Road Runner and Wile E. Coyote (USA, Brazil) (En)	Desert Speedtrap sur Game Gear et un jeu de plates-formes où vous contrôlez BibBip et tentez d'échapper à son éternel poursuivant : Wile. E Coyote. Vous pouvez sauter et utiliser la légendaire vitesse de BipBip pour parvenir à la fin du niveau, avant que le temps qui vous est imparti ne soit écoulé.
Desert Strike - Return to the Gulf (USA)	Desert Strike : Return to the Gulf sur Game Gear est le premier jeu de la série Strike. L'histoire prend place un an après la guerre du Golf alors qu'un général tyrannique menace le Moyen-Orient et les Etats-Unis. Le président vous charge d'abattre le général Kilbaba et ses terroristes, avant qu'ils n'engagent un conflit nucléaire mondial. Vous pilotez un hélicoptère Apache et vos objectifs sont divers : porter secours, détruire des objectifs, détourner des missiles...
Devilish (USA)	Devilish sur Game Gear est un casse-briques amélioré. En effet, vous dirigez horizontalement et verticalement, deux barres, sur lesquelles rebondit votre bille casse-briques. Franchissez les obstacles, éliminez vos ennemis à coups de bille, et terrassez les boss de fin de niveau pour annuler la malédiction qui a frappé le prince et la princesse.
Dinobasher Starring Bignose the Caveman (Europe) (Proto)	Rejoignez Bignose dans une course préhistorique déjantée pour attraper son dîner ! Frayez-vous un chemin à travers des hordes de dinosaures sur quatre îles immenses, récupérez des os et des pierres et commercez avec les autochtones. Volez entre les îles en utilisant votre massue comme rotors d'hélicoptère et devenez le premier homme volant ! De superbes graphismes, une musique géniale et, surtout, un divertissement au top !
Donald no Magical World (Japan) (En,Ja)	Ronald Mc Donald et ses amis, Grimace, Birdie et Hambuglar, se baladaient sur les chemins, quand soudain... Un coffre magique apparaît ! Quel suspens, hein ? Bref, Grimace et les autres sont aspirés dans le pays magique et Ronald va devoir les retrouver au travers de 4 niveaux colorés.
Doraemon - Noranosuke no Yabou (Japan)	Doraemon: Nora no Suke no Yabou est un jeu éducatif basé sur la série animée japonaise Dorarmon de 1979
Doraemon - Waku Waku Pocket Paradise (Japan)	Joue avec Doraemon ou avec l'aide de ton ami Nobita dans ce jeu d'action et de mini-jeux passionnant et découvre ce qui se passe dans la ville. Jouez avec un autre ami grâce au câble Gear-to-Gear et profitez de ce jeu qui se déroule dans le monde de Doraemon.
Double Dragon (USA, Europe)	Double Dragon est un titre de beat'em all au scrolling horizontal sur Game Gear. Dans un New-York post-apocalyptique, Billy et Jimmy Lee partent au secours de Marian la fiancée de Billy. Double Dragon vous permet d'arpenter les rues en éliminant les adversaires qui croisent votre chemin avec des techniques de Sou-Setsu-Ken. Outre les combos de coups de poing et de pied, les frères Lee disposent de coups de pied sautés et autres coups de coude. L'originalité du soft est qu'il est possible de ramasser divers objets et armes des adversaires pour les retourner contre eux.
Dr. Franken (Europe) (Demo)	Dr. Franken est un prototype d'un jeu jamais publié ni terminé. Contrairement à ce que laisse penser son titre écrit un peu partout en lettres gothiques, le jeu ne nous propose pas d'incarner le docteur Frankenstein, mais bien sa création, affectueusement nommé... Franky. Avant de décéder, son maître avait apparemment prévu d'offrir à Franky une compagne pour qu'ils puissent vivre de nombreux jours heureux et pourquoi faire des trucs rigolos avec leurs corps pendant des siècles. Malheureusement Bitsy - c'est son petit prénom - est quelque peu en morceaux... Morceaux joyeusement éparpillés dans l'immense château du scientifique, curieusement infesté de bestioles démoniaques. Pas décidé à rester vieux garçon, Franky se lance à la recherche des fragments de sa bien aimée, mais aussi des éléments pour remettre en marche la célèbre machine à donner la vie.
Dr. Robotnik's Mean Bean Machine (USA, Europe)	Dr. Robotnik's Mean Bean Machine sur Game Gear est un puzzle-game où vous devez arranger des blocs de couleur de manière à les faire disparaître et à réaliser des enchaînements qui auront raison de votre opposant. Sauvez les habitants de BeanVille de la robotisation qu'Eggman veut leur faire subir !
Dragon - The Bruce Lee Story (USA)	Dragon : The Bruce Lee Story sur Game Gear est un beat'em up basé sur le film du même nom sorti en 93. Vous devez vous battre pour survivre et exploiter à bon escient la science de Bruce Lee. Des bonus sont disséminés à travers les niveaux, ils vous permettront de faire exploser votre fureur et ainsi décupler votre puissance.
Dragon Crystal (USA, Europe)	Dragon Crystal sur Game Gear est un jeu de rôle. Vous combattez vos ennemis au tour par tour, en traversant des niveaux où l'objectif initial est de trouver un téléporteur qui vous mènera au niveau suivant. Un oeuf vous accompagne, à vous de le choyer pour qu'il devienne un puissant dragon !
Dunk Kids (Japan) (En)	DUNK KIDS est un jeu de basket à 2 contre 2 supporté par le All Japan Street Basketball Association.
Dynamite Headdy (USA, Europe)	Dynamite Headdy sur Game Gear met en scène un jouet qui a la particularité de se battre avec sa tête amovible. Lancez-la sur vos adversaires pour vous en débarrasser dans ce jeu de plates-formes cartoonesque et défaites le maléfique Dark Demon qui tente de transformer les jouets de la ville en sbires à sa solde. Combattez également votre ennemi juré, l'ours Trouble Bruin et délivrez la ville du joug démoniaque.
Earthworm Jim (USA)	Earthworm Jim sur Game Gear met en scène Jim, un ver de terre ayant hérité d'un costume aux pouvoirs extraordinaires. Dans ce classique parmi les jeux de plates-formes, le joueur dispose d'un pistolet laser comme moyen de défense. Jim a aussi une large palette de mouvements pour parvenir à franchir des niveaux variés et colorés.
