#key	name	year	genre	developer	players
Sonic CD (USA)	Sonic the Hedgehog CD	1993	Platform	Sonic Team	1
Sonic the Hedgehog CD (Japan)	Sonic the Hedgehog CD	1993	Platform	Sonic Team	1
SoulStar & Battlecorps (Europe) (Demo)	Soul Star	1994	Shoot'em Up	Core Design	1-2
SoulStar (USA)	Soul Star	1994	Shoot'em Up	Core Design	1-2
Space Ace (USA)	Space Ace	1994	Adventure	ReadySoft	1
Space Adventure, The - Cobra - The Legendary Bandit (USA)	The Space Adventure	1995	Adventure	Hudson Soft	1
Star Wars - Rebel Assault (USA)	Star Wars : Rebel Assault	1994	Shooter / Plane/Shooter	LucasArts	1
Starblade (USA)	StarBlade	1994	Shooter / Plane, FPV/Shooter	Tecno Soft	1
Stellar-Fire (USA)	Stellar-Fire	1993	Shooter / Vehicle, FPV/Shooter	Infinite Laser Dog	1
Supreme Warrior (USA) (Disc 1) (Fire & Earth)	Supreme Warrior	1994	Fighting	Digital Pictures	1
Surgical Strike (USA)	Surgical Strike	1995	Shooter / FPV/Shooter	The Code Monkeys	1
Switch (Japan)	Panic!	1993	Adventure/Puzzle	SEGA	1
Syndicate (Europe) (En,Fr,De)	Syndicate	1994	Strategy	Bullfrog	1
Tenbu Mega CD Special (Japan)	Tenbu Mega CD Special	1992	Simulation	Wolf Team	1
Tenkafubu - Eiyuutachi no Houkou (Japan)	Tenka Fubu - Eiyuutachi No Houkou	1991	Strategy	Game Arts	1
Terminator, The (USA)	The Terminator	1993	Platform / Shooter Scrolling/Platform	Probe Software	1
Theme Park (Europe) (En,Fr,De,Es)	Theme Park	1995	Build And Management/Simulation	Domark	1
Third World War (USA)	The Third World War	1994	Strategy	Micronet	1
Thunder Storm FX (Japan)	Cobra Command	1992	Shoot'em Up/Simulation	SEGA	1
Thunderhawk (Europe) (En,Fr,De,Es) (RE)	AH-3 Thunderstrike	1993	Shoot'em Up / Vertical/Simulation/Shoot'em Up	Core Design	1
Time Gal (USA)	Time Gal	1993	Adventure	Wolf Team	1
TimeCop (Europe) (Demo)	Timecop			Cryo Interactive	1
Tomcat Alley (USA)	Tomcat Alley	1994	Shooter / Plane, FPV/Shooter	The Code Monkeys	1
Trivial Pursuit (USA)	Trivial Pursuit : Interactive Multimedia Game	1994	Puzzle/Board game	Western Technologies	1-6
Ultraverse Prime (USA)	Ultraverse Prime	1994	Beat'em Up	Malibu Games	1
Urusei Yatsura - Dear My Friends (Japan)	Urusei Yatsura - Dear My Friends	1993	Adventure	Game Arts	1
Vay (USA)	Vay	1994	Role Playing Game	Hertz	1
Vay - Ryuusei no Yoroi (Japan)	Vay	1994	Role Playing Game	Hertz	1
Wakusei Woodstock - Funky Horror Band (Japan)	Wakusei Woodstock - Funky Horror Band	1991	Role Playing Game	Advance Communication Company	1
Warau Salesman (Japan)	Warau Salesman	1993	Adventure	Compile	1
Wheel of Fortune (USA)	Wheel of Fortune	1994	Quiz	Absolute Entertainment	1-3
Who Shot Johnny Rock (USA)	Who Shot Johnny Rock?	1994	Shooter / FPV/Shooter	American Laser Games	1-2
Wild Woody (USA)	Wild Woody	1995	Platform	SEGA	1
Wing Commander (USA)	Wing Commander	1994	Shooter / Vehicle, FPV/Shooter	Game Arts	1
Winning Post (Japan)	Winning Post	1993	Horse racing/Sports with animals	Koei	1
WireHead (USA)	Wirehead	1995	Adventure	The Code Monkeys	1
Wolfchild (USA)	Wolfchild	1992	Platform	SEGA	1
Wonder Dog (USA) (RE)	Wonder Dog	1992	Platform	Core Design	1
WonderMega Collection (Japan) (Rev 2)	Wondermega Collection	1992	Compilation	JVC	1-2
World Cup USA '94 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)	World Cup USA 94	1993	Sports / Football (Soccer)/Sports	Tiertex	1-4
WWF - Rage in the Cage (USA)	WWF Rage in the Cage	1994	Sports / Fighting/Sports	Sculptured Software	1-4
WWF Mania Tour - WWF - Rage in the Cage (Japan)	WWF Rage in the Cage	1994	Sports / Fighting/Sports	Sculptured Software	1-4
Yumemi Mystery Mansion (Europe) (Made in EU)	Mansion of Hidden Souls	1993	Adventure	System Sacom	1
Yumemi Yakata no Monogatari (Japan)	Mansion of Hidden Souls	1993	Adventure	System Sacom	1
Yumimi Mix (Japan)	Yumimi Mix	1993	Various	Game Arts	1
