#key	name	year	genre	developer	players
Darius - Extra Version (USA, Europe) (Strictly Limited Games)	Darius : Extra Version	2021	Shoot'em Up / Horizontal/Shoot'em Up	Taito	1
Dark Castle (USA, Europe)	Dark Castle	1991	Platform	Silicon Beach Software	1
Dark Empires (USA) (Proto)	Dark Empires	1991	Strategy	Sega Technical Institute	1
Darwin 4081 (Japan, Korea) (En)	Darwin 4081	1990	Shoot'em Up / Vertical/Shoot'em Up	Data East	1
Dashin' Desperadoes (USA)	Dashin' Desperadoes	1993	Racing, Driving/Platform / Run & Jump/Platform	Data East	1-2
David Crane's Amazing Tennis (USA)	David Crane's Amazing Tennis	1992	Sports / Tennis/Sports	SEGA	1-2
David Robinson's Supreme Court (USA, Europe)	David Robinson's Supreme Court	1992	Sports / Basketball/Sports	Acme Animation	1-2
Davis Cup II (USA) (Proto 2)	Davis Cup II	1994	Sports / Tennis/Sports	Loriciels	1-4
Davis Cup World Tour (USA, Europe)	Davis Cup Tennis	1993	Sports / Tennis/Sports	Loriciel	1-2
Daze Before Christmas (Australia)	Daze Before Christmas	1994	Platform	Funcom	1-2
Deadly Moves (USA)	Deadly Moves	1992	Fighting	System Vision	1-2
Death and Return of Superman, The (USA)	The Death and Return of Superman	1995	Beat'em Up	Blizzard Entertainment	1
Death Duel (USA)	Death Duel	1992	Shooter / FPV/Shooter	Punk Development	1
DEcapAttack (USA, Europe, Korea) (En)	DEcapAttack	1991	Platform/Platform	Vic Tokai Corporation	1
Demolition Man (USA, Europe)	Demolition Man	1995	Platform	Alexandria	1
Desert Demolition Starring Road Runner and Wile E. Coyote (USA, Europe)	Desert Demolition Starring Road Runner and Wile E. Coyote	1994	Platform	BlueSky Software	1
Desert Strike - Return to the Gulf (USA, Europe)	Desert Strike : Return to the Gulf	1992	Shoot'em Up	Visual Concepts	1
Devi to Pii (Japan) (Mega Drive Mini 2, Genesis Mini 2)	Devi to Pii	2022	Puzzle	SEGA	1-2
Devilish - The Next Possession (USA)	Devilish : The Next Possession	1992	Action / Breakout games/Action	Genki	1-2
Dick Tracy (World)	Dick Tracy	1991	Beat'em Up	SEGA	1
Dick Vitale's 'Awesome, Baby!' College Hoops (USA)	Dick Vitale's 'Awesome, Baby!' College Hoops	1994	Sports / Basketball/Sports	Time Warner Interactive	1-2
Dino Dini's Soccer (Europe) (En,Fr,De)	Dino Dini's Soccer	1994	Sports / Football (Soccer)/Sports	Virgin	8+
Dino Land (World) (Evercade)	Dino Land	1991	Pinball	Wolf Team	1-2
Dinosaur's Tale, A (USA)	A Dinosaur's Tale	1994	Platform	Funcom	1
Disney Collection, The - QuackShot Starring Donald Duck + Castle of Illusion Starring Mickey Mouse (Europe)	The Disney Collection : QuackShot + Castle of Illu	1996	Compilation/Adventure	SEGA	1
DJ Boy (USA)	DJ Boy	1990	Beat'em Up	SEGA	1
Dominus (USA) (Proto)	Dominus	1993	Strategy/Adventure	ASCII	1
Donald in Maui Mallard (USA) (Sega Channel)	Donald in Maui Mallard	1995	Platform	Disney Interactive	1
Doom Troopers (USA)	Doom Troopers	1995	Platform	Playmates Interactive	1-2
Doraemon - Yume Dorobou to 7 Nin no Gozans (Japan)	Doraemon : Yume Dorobou to 7 Nin no Gozans	1993	Platform	G-Sat	1-2
Double Clutch (Europe)	Double Clutch	1993	Racing, Driving	SEGA	1-2
Double Dragon 3 - The Arcade Game (USA, Europe)	Double Dragon 3 : The Arcade Game	1993	Beat'em Up	Flying Edge	1-2
Double Dragon II - The Revenge (Japan) (En)	Double Dragon II : The Revenge	1991	Beat'em Up	Quest	1-2
Double Dragon V - The Shadow Falls (USA)	Double Dragon V : The Shadow Falls	1994	Fighting	Leland Interactive Media	1-2
Double Dribble - The Playoff Edition (USA)	Double Dribble : The Playoff Edition	1994	Sports / Basketball/Sports	Konami	1-8
Dr. Robotnik's Mean Bean Machine (USA)	Dr. Robotnik's Mean Bean Machine	1993	Puzzle	Compile	1-2
Dragon - The Bruce Lee Story (USA)	Dragon : The Bruce Lee Story	1994	Beat'em Up	Virgin Interactive	1-3
Dragon Ball Z - Buyuu Retsuden (Japan)	Dragon Ball Z : Buyuu Retsuden	1994	Fighting	TOSE	1-2
Dragon Slayer - Eiyuu Densetsu (Japan)	Dragon Slayer : Eiyuu Densetsu	1994	Adventure	Nihon Falcom	1
Dragon Slayer - Eiyuu Densetsu II (Japan)	Dragon Slayer : Eiyuu Densetsu II	1995	Japanese RPG/Role Playing Game	Nihon Falcom	1
Dragon's Eye Plus - Shanghai III (Japan)	Dragon's Eye Plus : Shanghai III	1991	Mahjong/Asiatic board game	Home Data	1-2
Dragon's Fury (USA, Europe)	Dragon's Fury	1992	Pinball	Naxat Soft	1-2
Dragon's Lair (USA) (Proto)	Dragon's Lair : The Adventure Continues	1994	Platform	Eden Entertainment Software	1
Dragon's Revenge (USA, Europe)	Dragon's Revenge	1993	Pinball	Tengen	1-2
Duke Nukem 3D (USA) (Piko Interactive)	Duke Nukem 3D	1998	Shooter / FPV/Shooter	Tectoy	1
Dune - The Battle for Arrakis (USA)	Dune : The Battle for Arrakis	1994	Strategy	Westwood Studios	1
Dungeons & Dragons - Warriors of the Eternal Sun (USA, Europe)	Dungeons & Dragons : Warriors of the Eternal Sun	1992	Role Playing Game	SEGA	1
Dyna Brothers (Japan)	Dyna Brothers	1992	Strategy	CRI	1
Dyna Brothers 2 (Japan)	Dyna Brothers 2	1993	Simulation/Strategy	CSK Research Institute	1-2
Dynamite Duke (World)	Dynamite Duke	1990	Shooter / TPV/Shooter	Seibu Kaihatsu	1
Dynamite Headdy (USA, Europe)	Dynamite Headdy	1994	Platform	Treasure	1
DynoBlaze (USA) (Proto)	DynoBlaze	1994	Beat'em Up	Bonsai Entertainment	1
EA Hockey (Europe)	NHL Hockey	1991	Sports / Hockey/Sports	Park Place Production Team	1-2
EA Sports Double Header (Europe)	EA Sports Double Header	1993	Sports / Hockey/Sports / Football (American)/Sports	Park Place Productions	1-2
Earnest Evans (USA)	Earnest Evans	1992	Platform	Wolf Team	1
